Date,Open,High,Low,Close,Adj Close,Volume
5/1/2018,166.410004,169.199997,165.270004,169.100006,168.450439,53569400
5/2/2018,175.229996,177.75,173.800003,176.570007,175.891754,66539400
5/3/2018,175.880005,177.5,174.440002,176.889999,176.21051,34068200
5/4/2018,178.25,184.25,178.169998,183.830002,183.123856,56201300
5/7/2018,185.179993,187.669998,184.75,185.160004,184.448746,42451400
5/8/2018,184.990005,186.220001,183.669998,186.050003,185.335327,28402800
5/9/2018,186.550003,187.399994,185.220001,187.360001,186.640305,23211200
5/10/2018,187.740005,190.369995,187.649994,190.039993,189.309998,27989300
5/11/2018,189.490005,190.059998,187.449997,188.589996,188.589996,26212200
5/14/2018,189.009995,189.529999,187.860001,188.149994,188.149994,20778800
5/15/2018,186.779999,187.070007,185.100006,186.440002,186.440002,23695200
5/16/2018,186.070007,188.460007,186,188.179993,188.179993,19183100
5/17/2018,188,188.910004,186.360001,186.990005,186.990005,17294000
5/18/2018,187.190002,187.809998,186.130005,186.309998,186.309998,18297700
5/21/2018,188,189.270004,186.910004,187.630005,187.630005,18400800
5/22/2018,188.380005,188.880005,186.779999,187.160004,187.160004,15240700
5/23/2018,186.350006,188.5,185.759995,188.360001,188.360001,19467900
5/24/2018,188.770004,188.839996,186.210007,188.149994,188.149994,23234000
5/25/2018,188.229996,189.649994,187.649994,188.580002,188.580002,17461000
5/29/2018,187.600006,188.75,186.869995,187.899994,187.899994,22514100
5/30/2018,187.720001,188,186.779999,187.5,187.5,18446600
